model,mode,conc,req,fail,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,1,1,0,204.49940109480605,3883.625459477228,54.419799043940074,258.91920013874613,54.45684674263676,57.036825619867386,2.35048497400021,2.35048497400021,0.12385334400005377,0.12385334400005377,11.463886251534166,11.520737327188934,69.15726210268944,69.15806774019589,10.093189167700169,10.093189167700169,5.022945404052734,96.0,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,1,2,0,209.63321123946315,3664.8052137189934,54.262995022550626,263.8962062620138,54.2696584741478,57.14944179194379,2.3586335895001866,2.36652590430067,0.13637284149990592,0.14915621549989738,10.732218626441316,10.987482614742694,69.11985089875446,69.1364910749941,10.0440776620768,10.2396406344418,5.025150299072266,96.0,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,1,4,0,214.42908881853427,3911.037232456276,54.26974467379612,268.6988334923304,54.273443487277746,56.991456374268665,2.358473359249956,2.37013666119974,0.1300628322501325,0.14288721929960957,11.1467192470428,12.511627906976742,69.06003584052428,69.07449773908962,10.034863201153643,10.292545426654428,5.027828216552734,96.0,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,2,4,0,370.46031298792195,2267.254946952077,93.75960467118934,464.2199176591113,46.92253339329001,50.985330852575714,2.729664302749825,2.7990597607998096,0.23870553675010342,0.2974910478000311,10.6331935321942,11.126629422718803,69.03466162895577,69.03890235432044,10.06388840159547,10.256830192627715,5.035514831542969,94.4,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,4,8,0,599.5158517782443,1467.6786918605264,150.06214427301933,749.5779960512635,37.633472378930556,42.01198444236718,3.4056463577500153,3.5362359161001224,0.38212951587502175,0.5313377007000781,11.20464323763705,11.462631820265933,68.96496134105061,68.98792775707415,10.171454777294798,10.418314043374561,5.058097839355469,96.0,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,8,16,0,1052.4165412022396,1233.1576639610785,261.98481541050035,1314.4013566127398,32.80168649454284,36.75780473550444,3.9046138885000232,4.005747839999913,0.4454146646875756,0.4860088700002052,11.573376943912823,13.888888888888884,68.92663347628226,68.944649035619,10.235893000943113,10.59224556878126,5.070514678955078,91.57142857142857,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,16,32,0,1025.644146274752,393.7668413565977,254.62382102802502,1280.2679673027772,19.75667572112589,34.985552457936144,7.033770767093756,8.14321443650042,3.4019654148750362,4.567394796999906,11.514466447127537,13.88127853881278,68.88651080281304,68.91930123454074,10.238578768011804,10.584667001534081,5.089756011962891,96.0,96.0,,,75.3291015625
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,unique,32,64,0,1029.5726951021231,227.61429655687652,255.52941855596066,1285.102113658084,12.245901420871881,34.959243650754935,13.015336414265647,16.058869091900213,9.380608083843669,12.416263214300216,11.541146226372524,14.33806688043976,68.83783747881392,68.85691291682376,10.18049299265264,10.465052415358207,5.106807708740234,96.0,96.0,,,75.3291015625
