model,mode,conc,req,fail,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unique,1,4,0,57.89396069400695,1061.060394301584,14.652351890920198,72.54631258492715,14.652936805058994,15.37734640069489,8.735501676012063,8.758239937003236,0.47656482825550484,0.48158207660308106,9.455288120616762,11.16751269035533,96.2849993462424,96.32528670742315,8.619982856378087,8.820472323407163,1.8341941833496094,96.0,96.0,,,110.3876953125
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unique,2,4,0,99.7048299819916,766.3620617218253,25.234242684517895,124.93907266650949,12.61793865463976,13.39055269779462,10.14437001549959,10.173286025499692,0.659893478754384,0.6722978227102431,9.314333855012872,10.429164743885554,96.29232784366782,96.32295756863992,8.496543037180702,8.674973535363735,1.8341941833496094,96.0,96.0,,,110.3876953125
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unique,4,8,0,165.74934350276965,435.0533901128867,41.48798038299587,207.23732388576553,10.38667494089586,11.399081647046149,12.323686840758455,12.372796615908737,1.1817743123719993,1.3350283639068947,13.854128566105045,19.31506849315069,96.25783700840684,96.33183525509226,8.435784838341862,8.903036641854548,1.83642578125,96.0,96.0,,,110.3876953125
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unique,8,16,0,252.5123996132597,257.7451526948397,62.85953499549725,315.37193460875693,7.869668431864988,8.97073740561628,16.267096998431953,16.58581911449437,2.100584002746473,2.452782402498997,13.215579868803832,17.111315547378105,96.2561108423689,96.28466314148534,8.375961685987882,8.797920493971477,1.7224235534667969,96.0,96.0,,,110.3876953125
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unique,16,32,0,359.6064805687964,200.13634768762748,89.27499511544882,448.88147568424523,5.61436248424232,6.385955400015453,22.84575654702894,24.19143906029931,2.9193079344986472,4.315674037800636,9.387127867544546,11.531365313653142,96.25264079002271,96.28037163274479,8.286816007522487,8.80951294493967,1.7225189208984375,96.0,96.0,,,110.3876953125
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unique,32,64,0,475.79725050372593,145.51177292284822,118.08801394027094,593.8852644439969,3.745163968304572,4.252799559325722,34.41132338673515,38.86941142229771,4.452098616189232,8.619657105996158,9.248584780306132,14.96134606639381,96.25032960529457,96.27697040047049,8.043371133149321,8.61908440833134,1.7357978820800781,96.0,96.0,,,110.3876953125
