model,mode,conc,req,fail,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,1,0,139.63749266606828,3336.9602769858957,40.43800692592022,180.0754995919885,40.45554950032336,41.893306430755736,3.16396641699248,3.16396641699248,0.13245587699930184,0.13245587699930184,10.95227373756617,11.099949773982921,98.70759599868377,98.70907404570436,10.181475406327229,10.181475406327229,8.850826263427734,96.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,2,0,144.12253302455244,3560.3903849647213,40.499855602947775,184.62238862750021,40.50278334213198,41.88183057980278,3.1602839684928767,3.164134296879638,0.12794257049972657,0.13115830209862905,10.94440554873189,11.929986181483187,98.72876921817708,98.74889824368829,10.106074067343616,10.263982453209442,8.85092544555664,94.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,4,0,147.21889549409997,3594.1425529167336,40.37283047294011,187.59172596704008,40.376484971500744,41.77400695035973,3.1701844724884722,3.1794252814957873,0.13000810074299807,0.1366378499835264,10.889987061998971,11.141804788213626,98.89301730376849,99.08694311443723,10.205702768961718,10.352587509082877,8.851081848144531,95.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,2,4,0,279.68477260468865,1724.0267278495264,76.69984122849522,356.38461383318383,38.39874449313503,41.83288250046275,3.3372135359823005,3.449489817681024,0.30119770199235063,0.39379030679410787,10.711720440473766,11.346863468634682,98.60017087247584,98.62983317065412,10.050622455968572,10.325204636372122,8.764934539794922,96.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,4,8,0,523.4239836813734,1554.4714420736082,141.83280214070558,665.256785822079,35.47964451554809,38.442955615844994,3.6090074320018175,3.678272146897507,0.3038801218790468,0.3068241876055254,10.80587209729927,11.454965357967673,98.63522759818592,98.64060739676171,10.05004382888996,10.300046147259788,8.761951446533203,96.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,8,16,0,774.8154160221804,808.2714124060727,208.70997922049528,983.5253952426758,26.20218514898589,29.839460134849137,4.889346838379424,5.024749181015068,0.6319301711246226,0.8228339655033778,10.637089918343323,11.287398005439709,98.66157312889548,98.66890188755225,9.977613014455816,10.323774853829988,8.765819549560547,96.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,16,32,0,1181.7666168914286,735.890089295771,317.3900768990421,1499.1566937904706,19.963680368617727,22.669841129128844,6.418300290281877,6.567647449902142,0.8069400748454427,1.168798652489204,13.019698999600548,19.088838268792706,98.66932422741237,98.69866345364636,9.987562892449938,10.37506294034249,8.766490936279297,96.0,96.0,,,107.2509765625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,32,64,0,1547.081131352483,455.8356310288016,415.3809651614022,1962.4620965138852,13.21265042977447,15.053957249222133,9.782029621762831,11.079966828483157,1.2942233246239994,2.269582105486188,11.379875365104457,14.271356783919597,98.7142220859664,98.74485124749833,9.722405846202918,10.335930860180149,8.77071762084961,96.0,96.0,,,107.2509765625
