model,mode,conc,req,fail,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,1,1,0,106.77313964332097,2379.707341762715,30.92072822250019,137.69386786582115,30.93361489883103,32.13435707676607,4.1378933699998015,4.1378933699998015,0.1857371249998323,0.1857371249998323,7.056934728134767,8.437970868910094,95.90692677828206,95.91296331249052,5.712115066759742,5.727434505042275,3.232940673828125,96.0,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,1,2,0,109.48346347058133,2256.040667461376,30.765934850130428,140.24939832071175,30.77027574961622,32.09258625336268,4.159961496000051,4.1765029319999485,0.20265497199989113,0.21521410639988972,6.669057559367944,8.536585365853655,95.93285346804846,95.95232669835988,5.681830412673607,5.731523960250162,3.233806610107422,96.0,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,1,4,0,111.26304208961308,2360.5878873022607,30.51241432773535,141.77545641734844,30.519963716407506,31.78090475879217,4.19470676224978,4.254478924500018,0.19779371549975622,0.20410610439948867,6.44509738039165,8.352885969028623,95.95670305504534,95.97849581082603,5.665194416085227,5.855009728665113,3.234394073486328,96.0,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,2,4,0,214.40847849556442,1678.9835530722714,58.79868290826405,273.2071614038285,29.45463985216074,31.37975303329178,4.345992209750193,4.388161949400273,0.29725734050020947,0.3783288405003077,6.889620755439053,7.855126999059269,95.96685481907434,95.98221679028187,5.6437166192235315,6.306950590035472,3.2715415954589844,96.0,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,4,8,0,372.7823693014348,1053.679109333634,101.01326969162986,473.79563899306464,25.286089803792105,27.546580233159418,5.062270597249949,5.094460436900408,0.4512912000001279,0.5151615229997333,6.701783539456584,8.434864104967199,95.96834784335942,95.97526699124768,5.648074628420889,5.897515001534548,3.273303985595703,90.22222222222223,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,8,16,0,580.1523346755494,537.0376295952275,156.27409988366762,736.4264345592169,19.586406041332243,22.67399847178774,6.535343297812403,6.601153031499962,0.9297423931249114,1.1812906290001592,7.109333881755852,9.521597770552715,95.96889555843892,95.97669958401205,5.744501455093117,7.177862440101748,3.2883377075195312,96.0,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,16,32,0,892.6163806544758,438.7964614587379,239.73225986235218,1132.348640516828,15.09179422193014,17.419922343919197,8.4981466361875,8.882332130499709,1.1961368184687728,1.6675184198999886,7.386269481112677,10.870659285354812,95.96836275096223,95.97597858546543,5.89531710202648,7.407349096972995,3.2895431518554688,96.0,96.0,,,109.3212890625
nvidia/Qwen3-Next-80B-A3B-Thinking-NVFP4,unique,32,64,0,1229.4380825492608,322.49597719092077,330.09592514973434,1559.534007698995,10.523736156217526,12.181001904269001,12.296833595093716,14.031641455299724,1.806038320312453,3.180425052600185,7.729677942408966,10.165593376264948,95.9774925399235,95.9880913610487,6.095975594623417,7.834180981328351,3.293315887451172,96.0,96.0,,,109.3212890625
