model,mode,conc,req,fail,aborted,abort_reason,vllm_max_concurrency,vllm_max_model_len,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,benchmark_time_s,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,swap_max_gib,swap_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,1,0,False,,14.34,262144,139.43065026439623,3544.2165998456144,40.37810686389756,179.8087571282938,40.52452336812385,41.860711293435195,3.1700347030000557,3.1585812580015045,3.1585812580015045,0.12471021100100188,0.12471021100100188,10.899146359016378,11.878453038674031,87.84345196800157,87.8582057926089,0.3170661926269531,1.9816641763840142,10.092445822008813,10.092445822008813,7.6973419189453125,96.0,96.0,,,95.72265625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,2,0,False,,14.34,262144,144.13943619077187,3559.1068213906074,40.5046055596461,184.64404175041795,40.50998116282166,41.890290312334045,6.320268928999212,3.159726598499219,3.1645444468993444,0.12799675349924655,0.13139749949878024,10.798952349435096,11.024345429490124,87.86710604945053,87.88512725138457,0.31687164306640625,1.9804482413406947,10.196041506010943,10.354154734305938,7.6974334716796875,96.0,96.0,,,95.72265625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,4,0,False,,14.34,262144,144.27151865313976,3638.3116109125804,39.56455144638863,183.8360700995284,39.61899271966422,40.93524753050285,12.94087715600108,3.234921288250007,3.3583624225995665,0.12832369099942298,0.13096330639946246,11.699175917276166,14.26553672316384,87.85746546294183,87.88711783432852,0.3168525695800781,1.9803290320227223,10.038508182926806,10.330522084067109,7.697517395019531,96.0,96.0,,,95.72265625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,2,4,0,False,,14.34,262144,283.18203778331656,2234.6396250626367,77.65891984202361,360.84095762534014,38.90973432086447,41.27590833585272,6.592932286999712,3.289688786499937,3.2985609428003952,0.21270156749960734,0.23963969830019777,11.662968786817352,13.085052843482636,87.85956367320505,87.87051605909843,0.3159065246582031,1.9744162498512863,10.099065738302986,10.284708542684944,7.697818756103516,96.0,96.0,,,95.72265625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,4,8,0,False,,14.34,262144,496.39276663542205,1342.5599854887835,134.5081219991194,630.9008886345414,33.74436714374013,37.05082822952022,7.6129231810009514,3.79915318212511,3.9606952409007135,0.3690271571249468,0.4813005058997078,11.512711502714971,14.345598509548207,87.88858401398171,87.90938415031403,0.3157691955566406,1.9735579427618843,10.0489574137927,10.417165050835012,7.698078155517578,95.85714285714286,96.0,,,95.72265625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,8,16,0,False,,14.34,262144,497.9111754533801,443.90095534480946,134.12101635256116,632.0321918059412,20.90197911576914,36.10167209445585,15.26979183200092,6.7092715819999285,7.7647111204987596,3.1867569495000225,4.300861016500676,11.647222238972152,18.89466225791214,87.86056739871799,87.88279497782506,0.3156280517578125,1.972675793808888,10.134175921290987,10.384007702908153,7.6990203857421875,96.0,96.0,,,95.72265625
