model,mode,conc,req,fail,aborted,abort_reason,vllm_max_concurrency,vllm_max_model_len,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,swap_max_gib,swap_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,1,0,False,,32.65,131072,134.60009186879083,1944.2927231393476,38.9792121248987,173.57930399368954,39.00008794550917,41.57511606503943,3.282043880999481,3.282043880999481,0.22733202400013397,0.22733202400013397,11.296556718270223,11.67207040296434,97.40960896079564,97.43779373441605,3.601116180419922,22.50698149370706,10.201282853454359,10.338526540764088,6.175121307373047,96.0,96.0,,,108.5068359375
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,2,0,False,,32.65,131072,139.27766156997959,1942.722989011753,39.1383988604992,178.41606043047878,39.1430074146334,41.836911704965615,3.270093162000194,3.2783687396007735,0.23442070550026983,0.2382599610997204,11.666262738563853,13.894052044609662,97.67324364675673,97.89680962218328,3.601062774658203,22.506647707616736,10.187499434729592,10.340245214856608,6.175792694091797,95.66666666666667,96.0,,,108.5068359375
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,4,0,False,,32.65,131072,143.67437174228837,1960.4386111211625,39.40079182220227,183.07516356449062,39.4056489015194,42.18930947150523,3.248359548249482,3.2623279124998588,0.2380712742497053,0.24311197379884106,11.46003205839764,13.90697674418605,97.97980047337003,98.01876182418025,3.600933074951172,22.505837084254523,10.142389851997391,10.29036882535365,6.176425933837891,95.75,96.0,,,108.5068359375
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,2,4,0,False,,32.65,131072,243.6703549406535,1195.582607836605,66.82336461147005,310.4937195521236,33.445701537298596,37.03165998508787,3.8303003015003014,3.941134295900338,0.3999716212506428,0.4574055535003936,11.494835781992514,13.452708907254362,98.05415837456762,98.0693508439429,3.600250244140625,22.501569390671108,10.111692115841317,10.25777995233574,6.178901672363281,96.0,96.0,,,108.5087890625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,4,8,0,False,,32.65,131072,392.48842764334637,677.8709972308177,106.35304310843786,498.8414707517842,26.660512154524866,31.10261442614312,4.807461358249384,4.992298597399895,0.7237622151246796,0.9133459739001409,11.390295342470434,14.436781609195403,97.69033679817022,97.90705720587421,3.600208282470703,22.50130713017157,9.794915966416957,10.433256789748322,6.179435729980469,96.0,96.0,,,108.5087890625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,8,16,0,False,,32.65,131072,587.7367526049892,501.3286062705261,158.3170944804706,746.0538470854598,19.88481911633269,23.237437778909964,6.455002032562788,6.956968957500067,0.9849327738126021,1.2537050149994684,11.432391861382795,14.788097385031563,97.98066659780989,98.0100032592269,3.60009765625,22.500615716127328,9.987241411316354,10.388955082447465,6.180961608886719,96.0,96.0,,,108.5087890625
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,16,32,1,False,,32.65,131072,743.2703966724054,337.7301134736223,199.64102985149287,942.9114265238982,13.0560082246299,15.303089220495655,9.95019443741952,11.57557366400033,1.5918045012581827,2.4522733590001735,11.735922548947503,15.178975985500676,97.99173813686669,98.05966438520782,3.59991455078125,22.499471306674792,-119.71115186269215,10.446048202758709,6.182491302490234,96.0,96.0,,,108.5087890625
