model,mode,conc,req,fail,aborted,abort_reason,vllm_max_concurrency,vllm_max_model_len,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,swap_max_gib,swap_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,1,0,False,,16.42,262144,141.53604726751118,3571.907846638409,40.9878145933064,182.52386186081756,41.008708267107,42.368006264574355,3.1212882680010807,3.1212882680010807,0.12374339400048484,0.12374339400048484,10.493541546173125,10.6612685560054,97.01977131618881,97.02622582056922,3.2686920166015625,20.42932997449159,9.77509859404982,9.77509859404982,6.321079254150391,96.0,96.0,,,107.7001953125
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,2,0,False,,16.42,262144,144.93507721832106,3238.5552386296213,40.728188548726884,185.66326576704793,40.73427471501924,42.311129458921954,3.1423170879997997,3.142925768799432,0.140727508000964,0.14553160000123172,11.317911836024185,13.564814814814818,97.03515993299479,97.04648587972936,3.2686233520507812,20.42890082094689,10.087678023671547,10.225572556256557,6.321781158447266,96.0,96.0,,,107.7001953125
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,1,4,0,False,,16.42,262144,148.606763720737,3490.13956095373,40.75343493573505,189.36019865647205,40.759093919837106,42.242240816039526,3.1404191525002716,3.1476559229000487,0.13393706850001763,0.14014587130041037,11.159800935175237,13.479477611940293,97.06280153537809,97.1489052906654,3.2685813903808594,20.42863856044735,10.15227486583464,10.268178369265867,6.322151184082031,96.0,96.0,,,107.7001953125
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,2,4,0,False,,16.42,262144,284.50197813673776,2690.6415215489133,78.02089598607913,362.5228741228169,39.089831192521025,41.16188976358845,3.2745967182499953,3.2896454081996125,0.1884739804995661,0.24224449359990102,11.302216885554063,13.447319778188538,97.2309319369117,97.35975661346104,3.2682571411132812,20.426612002041818,10.185365453517855,10.331446086985233,6.323276519775391,95.5,96.0,,,107.7001953125
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,4,8,0,False,,16.42,262144,492.8329875591155,1314.0474566103871,133.54352454631763,626.3765121054331,33.454232520644496,36.83314235302762,3.826200979125133,3.8437631904009324,0.37606525249975675,0.48696344969939676,10.971624859806754,12.327506899724005,97.47736849377237,97.51232304070291,3.2681808471679688,20.426135164769928,10.141577913150252,10.370515284842298,6.324104309082031,94.85714285714286,96.0,,,107.7001953125
RedHatAI/Qwen3.6-35B-A3B-NVFP4,unique,8,16,0,False,,16.42,262144,765.6983947401646,753.2224131963524,206.25415131235792,971.9525460525226,25.883590023020684,29.815453763958704,4.951319025249859,5.143918869999652,0.6892395291873754,0.9437278300001708,10.759096172017482,11.646033929390187,97.27880624040752,97.39632377888003,3.268077850341797,20.425491434452876,10.110294907051761,10.37554810555566,6.324733734130859,85.22222222222223,96.0,,,107.7001953125
