model,mode,conc,req,fail,prompt_tok_s_agg,prefill_tok_s_req,decode_tok_s_agg,total_tok_s,per_req_e2e_tok_s,decode_tok_s_req,lat_mean_s,lat_p90_s,ttft_mean_s,ttft_p90_s,sys_cpu_mean_pct,sys_cpu_max_pct,sys_ram_mean_pct,sys_ram_max_pct,proc_cpu_mean_pct,proc_cpu_max_pct,proc_rss_max_gib,gpu_util_mean_pct,gpu_util_max_pct,gpu_mem_max_gib,gpu_mem_max_pct,proc_gpu_mem_max_gib
Qwen/Qwen3.6-27B-FP8,unique,1,1,0,27.318000101459816,1695.2526924710885,7.911095052006462,35.229095153466275,7.91202245764432,7.9787984999007815,16.177911613020115,16.177911613020115,0.2607280920201447,0.2607280920201447,9.216543588884894,11.261261261261257,96.7195219953392,96.73879504779327,5.214277253290832,5.331295878675702,7.822273254394531,96.0,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,1,2,0,28.51123014521455,1712.012520242502,8.011937340477415,36.523167485691964,8.012164227779238,8.084170795483711,15.975745714997174,15.995257362985285,0.26600459701148793,0.26859035700326783,6.077618565348617,6.368563685636852,96.71877088054895,96.74767273424561,5.209881777462699,5.345538467995927,7.822360992431641,96.0,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,1,4,0,29.145389862421666,1749.635587690627,7.992736802120993,37.13812666454266,7.992840586975616,8.06470650428347,16.014333664250444,16.01870175411168,0.26670509425457567,0.26934985752159263,6.075478313074345,6.961178045515393,96.72305320887322,96.7486789974346,5.208109403250189,5.396339776263999,7.8223724365234375,96.0,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,2,4,0,57.84808955087162,962.423785660703,15.864071692579683,73.7121612434513,7.93235723279117,8.11454051141575,16.136452131497208,16.151252060791013,0.48553460300172446,0.4972931012045592,6.29795696502919,10.089285714285712,96.70248168729746,96.73448159561869,5.216724674110656,5.275384668463478,7.822597503662109,96.0,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,4,8,0,111.00093630618271,541.3718953963992,30.07805207132339,141.0789883775061,7.5267889702261535,7.884687454419992,17.006078016627725,17.040489559600246,0.8982776663760887,0.9935801731888205,6.265930145689787,7.733571747876622,96.6784545749338,96.72632490771296,5.28632783068662,6.004563922277361,7.851402282714844,96.0,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,8,16,0,202.44249061084673,275.02011482007345,54.53139823372539,256.9738888445721,6.845713726538243,7.4994801478801225,18.69958675250018,18.781514153495664,1.7627671803711564,2.0196156464953674,6.489596368407015,8.615948670944086,96.90701455296809,97.14971719772441,5.5285843202337945,8.033398789643678,7.8550872802734375,93.72727272727273,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,16,32,0,341.0979795498334,204.8373496870377,91.60955506105287,432.7075346108862,5.767300976045249,6.501717548033151,22.225666875874595,23.255452796604366,2.662605084403367,3.9340165773930496,6.674048682478384,8.543417366946782,96.90804427217546,97.14742254148038,5.692296800895527,7.816922857410389,7.855705261230469,96.0,96.0,,,105.736328125
Qwen/Qwen3.6-27B-FP8,unique,32,64,0,505.35217686391553,139.82029058704643,135.68368892757354,641.0358657914891,4.319972144956671,4.989684290068816,29.922201441637753,33.91816121309239,4.318187673155535,7.616818054806208,7.011937182843482,8.78003696857671,97.13979604479468,97.15156358095903,5.931086537673447,8.156588773193143,7.856193542480469,96.0,96.0,,,105.736328125
